date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:19:27	67466/67466	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Jul%202025%2012:19:26%20GMT	https://kualalumpur.intercontinental.com/blog/interesting-facts-about-nasi-lemak	C:/My%20Web%20Sites/Interesting%20Facts%20about%20Nasi%20Lemak/kualalumpur.intercontinental.com/blog/interesting-facts-about-nasi-lemak.html	(from )
20:19:27	24/24	---M--	200	added ('OK')	text/plain	etag:%2218-6286a71752943%22	https://kualalumpur.intercontinental.com/robots.txt		(from )
20:19:27	872/872	---M--	200	added ('OK')	image/png	date:Wed,%2011%20Jun%202025%2022:56:56%20GMT	https://ejmse4m6ybw.exactdn.com/resources/meta/logo-32x32.png	C:/My%20Web%20Sites/Interesting%20Facts%20about%20Nasi%20Lemak/ejmse4m6ybw.exactdn.com/resources/meta/logo-32x32.png	(from https://kualalumpur.intercontinental.com/blog/interesting-facts-about-nasi-lemak)
20:19:28	4636/4636	---M--	200	added ('OK')	image/png	date:Fri,%2013%20Jun%202025%2003:29:46%20GMT	https://ejmse4m6ybw.exactdn.com/resources/meta/logo-152x152.png	C:/My%20Web%20Sites/Interesting%20Facts%20about%20Nasi%20Lemak/ejmse4m6ybw.exactdn.com/resources/meta/logo-152x152.png	(from https://kualalumpur.intercontinental.com/blog/interesting-facts-about-nasi-lemak)
20:19:28	2166/2166	---M--	200	added ('OK')	image/png	date:Thu,%2012%20Jun%202025%2013:05:32%20GMT	https://ejmse4m6ybw.exactdn.com/resources/meta/logo-76x76.png	C:/My%20Web%20Sites/Interesting%20Facts%20about%20Nasi%20Lemak/ejmse4m6ybw.exactdn.com/resources/meta/logo-76x76.png	(from https://kualalumpur.intercontinental.com/blog/interesting-facts-about-nasi-lemak)
20:19:28	3386/3386	---M--	200	added ('OK')	image/png	date:Fri,%2011%20Apr%202025%2003:25:42%20GMT	https://ejmse4m6ybw.exactdn.com/resources/meta/logo-120x120.png	C:/My%20Web%20Sites/Interesting%20Facts%20about%20Nasi%20Lemak/ejmse4m6ybw.exactdn.com/resources/meta/logo-120x120.png	(from https://kualalumpur.intercontinental.com/blog/interesting-facts-about-nasi-lemak)
20:19:28	4683/4683	---M--	200	added ('OK')	image/png	date:Fri,%2011%20Jul%202025%2012:19:29%20GMT	https://ejmse4m6ybw.exactdn.com/resources/meta/logo-150x150.png	C:/My%20Web%20Sites/Interesting%20Facts%20about%20Nasi%20Lemak/ejmse4m6ybw.exactdn.com/resources/meta/logo-150x150.png	(from https://kualalumpur.intercontinental.com/blog/interesting-facts-about-nasi-lemak)
20:19:29	56120/56120	---M--	200	added ('OK')	image/jpeg	date:Tue,%2017%20Jun%202025%2000:21:00%20GMT	https://ejmse4m6ybw.exactdn.com/resources/blog/600x600_nl_1.png	C:/My%20Web%20Sites/Interesting%20Facts%20about%20Nasi%20Lemak/ejmse4m6ybw.exactdn.com/resources/blog/600x600_nl_1.jpg	(from https://kualalumpur.intercontinental.com/blog/interesting-facts-about-nasi-lemak)
20:19:29	240871/240871	---MCZ	200	added ('OK')	text/css	date:Wed,%2011%20Jun%202025%2009:35:14%20GMT	https://ejmse4m6ybw.exactdn.com/site/themes/ich/assets/app.css?v=20231027	C:/My%20Web%20Sites/Interesting%20Facts%20about%20Nasi%20Lemak/ejmse4m6ybw.exactdn.com/site/themes/ich/assets/app08f7.css	(from https://kualalumpur.intercontinental.com/blog/interesting-facts-about-nasi-lemak)
20:19:29	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2011%20Jul%202025%2012:19:30%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/Interesting%20Facts%20about%20Nasi%20Lemak/www.googletagmanager.com/gtm.85445.delayed	(from https://kualalumpur.intercontinental.com/blog/interesting-facts-about-nasi-lemak)
